Dates,PX_BID,LAST_PRICE,CHG_PCT_1D
26-07-2013,59.04,59.045,-0.1057
29-07-2013,59.415,59.4175,0.6309
30-07-2013,60.48,60.485,1.7966
31-07-2013,60.345,60.36,-0.2067
01-08-2013,60.445,60.45,0.1491
02-08-2013,61.09,61.095,1.067
05-08-2013,60.87,60.875,-0.3601
06-08-2013,60.78,60.785,-0.1478
07-08-2013,61.295,61.3,0.8472
08-08-2013,60.855,60.86,-0.7178
12-08-2013,61.27,61.275,0.6819
13-08-2013,61.19,61.2,-0.1224
14-08-2013,61.4375,61.4437,0.3982
16-08-2013,61.65,61.655,0.3439
19-08-2013,63.12,63.13,2.3923
20-08-2013,63.21,63.23,0.1584
21-08-2013,64.03,64.045,1.2889
22-08-2013,64.625,64.63,0.9134
23-08-2013,63.31,63.33,-2.0114
26-08-2013,64.2925,64.3063,1.5416
27-08-2013,66.18,66.19,2.9293
28-08-2013,68.8,68.845,4.0112
29-08-2013,66.59,66.595,-3.2682
30-08-2013,65.7,65.705,-1.3364
02-09-2013,66.01,66.015,0.4718
03-09-2013,67.71,67.73,2.5979
04-09-2013,67.08,67.09,-0.9449
05-09-2013,66.1,66.115,-1.4533
06-09-2013,65.24,65.25,-1.3083
10-09-2013,63.835,63.84,-2.1609
11-09-2013,63.355,63.365,-0.744
12-09-2013,63.52,63.535,0.2683
13-09-2013,63.485,63.495,-0.063
16-09-2013,62.84,62.845,-1.0237
17-09-2013,63.36,63.37,0.8354
18-09-2013,63.37,63.385,0.0237
19-09-2013,61.76,61.775,-2.54
20-09-2013,62.27,62.2775,0.8134
23-09-2013,62.595,62.5975,0.5138
24-09-2013,62.76,62.77,0.2756
25-09-2013,62.42,62.435,-0.5337
26-09-2013,62.0725,62.0788,-0.5705
27-09-2013,62.475,62.4975,0.6745
30-09-2013,62.61,62.6175,0.192
01-10-2013,62.46,62.465,-0.2435
03-10-2013,61.735,61.74,-1.1606
04-10-2013,61.435,61.44,-0.4859
07-10-2013,61.79,61.795,0.5778
08-10-2013,61.79,61.795,0
09-10-2013,61.93,61.935,0.2266
10-10-2013,61.32,61.36,-0.9284
11-10-2013,61.075,61.08,-0.4563
14-10-2013,61.54,61.545,0.7613
15-10-2013,61.84,61.845,0.4874
17-10-2013,61.2,61.22,-1.0106
18-10-2013,61.26,61.265,0.0735
21-10-2013,61.515,61.5212,0.4182
22-10-2013,61.645,61.65,0.2094
23-10-2013,61.585,61.59,-0.0973
24-10-2013,61.465,61.47,-0.1948
25-10-2013,61.45,61.46,-0.0163
28-10-2013,61.52,61.525,0.1058
29-10-2013,61.315,61.3225,-0.3291
30-10-2013,61.23,61.2375,-0.1386
